team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc1306,1557,0,0,0,0,17,0.0
frc1307,1438,1,0,0,1,17,0.058823529411764705
frc1308,1380,0,0,0,0,17,0.0
frc1310,1705,3,1,2,0,17,0.17647058823529413
frc1311,1649,1,0,0,1,17,0.058823529411764705
frc1317,1521,0,0,0,0,17,0.0
frc1318,1666,8,4,3,1,17,0.47058823529411764
frc1319,1509,6,2,1,3,17,0.35294117647058826
frc1322,1659,1,1,0,0,17,0.058823529411764705
frc1323,1916,5,0,4,1,17,0.29411764705882354
frc1325,1799,5,2,3,0,16,0.3125
frc1329,1503,0,0,0,0,17,0.0
frc1332,1494,2,1,1,0,17,0.11764705882352941
frc1334,1479,1,0,0,0,17,0.058823529411764705
frc1339,1551,0,0,0,0,15,0.0
frc1350,1535,0,0,0,0,17,0.0
frc1351,1482,0,0,0,0,17,0.0
frc1359,1472,2,0,0,2,17,0.11764705882352941
frc1360,1645,2,2,0,0,5,0.4
frc1369,1646,3,0,1,2,16,0.1875
frc1370,1583,1,0,1,0,17,0.058823529411764705
frc1374,1529,0,0,0,0,4,0.0
frc1382,1504,1,0,1,0,17,0.058823529411764705
frc1388,1588,0,0,0,0,17,0.0
frc1389,1487,1,0,1,0,17,0.058823529411764705
frc1391,1638,1,0,0,1,17,0.058823529411764705
frc1398,1493,1,0,0,1,17,0.058823529411764705
frc1403,1588,1,0,1,0,17,0.058823529411764705
frc1405,1598,3,0,0,2,17,0.17647058823529413
frc1410,1652,1,0,0,1,17,0.058823529411764705
frc1413,1639,0,0,0,0,17,0.0
frc1414,1674,1,0,1,0,17,0.058823529411764705
frc1418,1676,5,3,1,1,17,0.29411764705882354
frc1421,1699,5,0,3,2,17,0.29411764705882354
frc1422,1494,0,0,0,0,11,0.0
frc1425,1640,11,8,2,1,17,0.6470588235294118
frc1432,1504,0,0,0,0,17,0.0
frc1444,1578,2,1,1,0,17,0.11764705882352941
frc1446,1426,0,0,0,0,16,0.0
frc1450,1569,1,0,0,1,17,0.058823529411764705
frc1452,1484,1,0,0,1,14,0.07142857142857142
frc1458,1518,1,0,0,1,17,0.058823529411764705
frc1466,1526,2,2,0,0,17,0.11764705882352941
frc1468,1647,0,0,0,0,17,0.0
frc1474,1617,1,0,0,1,17,0.058823529411764705
frc1477,1631,12,5,4,3,17,0.7058823529411765
frc1481,1669,1,0,1,0,9,0.1111111111111111
frc1482,1411,2,0,0,2,17,0.11764705882352941
frc1492,1593,1,0,0,1,17,0.058823529411764705
frc1493,1712,1,1,0,0,16,0.0625
frc1495,1633,3,1,0,2,17,0.17647058823529413
frc1501,1643,6,3,2,1,16,0.375
frc1502,1448,1,0,0,1,16,0.0625
frc1504,1604,0,0,0,0,16,0.0
frc1506,1685,3,2,0,1,16,0.1875
frc1507,1698,6,3,2,1,16,0.375
frc1510,1483,1,0,1,0,16,0.0625
frc1511,1641,5,1,1,1,16,0.3125
frc1512,1435,1,0,0,1,16,0.0625
frc1515,1460,2,1,0,1,16,0.125
frc1517,1519,2,1,0,1,16,0.125
frc1518,1565,1,0,0,1,16,0.0625
frc1519,1663,14,6,6,2,16,0.875
frc1522,1498,2,0,0,2,16,0.125
frc1523,1575,0,0,0,0,16,0.0
frc1528,1441,0,0,0,0,16,0.0
frc1529,1502,1,0,0,1,16,0.0625
frc1533,1631,6,3,3,0,16,0.375
frc1537,1443,0,0,0,0,15,0.0
frc1538,1614,4,0,3,1,16,0.25
frc1539,1460,1,0,0,1,16,0.0625
frc1540,1773,4,4,0,0,16,0.25
frc1546,1474,0,0,0,0,16,0.0
frc1551,1651,1,1,0,0,16,0.0625
frc1553,1501,0,0,0,0,15,0.0
frc1554,1383,0,0,0,0,16,0.0
frc1555,1413,1,0,0,1,10,0.1
frc1557,1519,0,0,0,0,16,0.0
frc1559,1571,3,1,1,1,16,0.1875
frc1561,1531,1,0,1,0,16,0.0625
frc1566,1417,0,0,0,0,16,0.0
frc1569,1532,1,0,0,1,16,0.0625
frc1571,1473,1,0,0,1,15,0.06666666666666667
frc1572,1619,1,1,0,0,16,0.0625
frc1573,1466,1,0,1,0,15,0.06666666666666667
frc1574,1583,12,6,5,1,16,0.75
frc1576,1419,1,0,1,0,16,0.0625
frc1577,1651,5,4,1,0,16,0.3125
frc1580,1442,1,0,0,1,15,0.06666666666666667
